Name,x (pix),y (pix),X (m),Y (m),Orientation,URL,Redirect URL,Notes
Test,574,1014,-1.4104,-9.6432,N,http://www.cs.rit.edu/~robotlab/SWLounge,,
Office3675,574,1014,-48.3472,-9.6432,N,http://www.cs.rit.edu/~robotlab/Office3675,http://www.cs.rit.edu/~ta,
Office3673,693,1014,-44.444,-9.6432,N,http://www.cs.rit.edu/~robotlab/Office3673,http://www.cs.rit.edu/~ta,
Office3671,746,1014,-42.7056,-9.6432,N,http://www.cs.rit.edu/~robotlab/Office3671,http://www.cs.rit.edu/~ta,
Office3669,829,1014,-39.9832,-9.6432,N,http://www.cs.rit.edu/~robotlab/Office3669,http://www.cs.rit.edu/~tmh,
Office3659,912,1014,-37.2608,-9.6432,N,http://www.cs.rit.edu/~robotlab/Office3659,http://www.cs.rit.edu/~jsb,
Office3657,998,1014,-34.44,-9.6432,N,http://www.cs.rit.edu/~robotlab/Office3657,http://www.cs.rit.edu/~spr,
Office3655,1081,1014,-31.7176,-9.6432,N,http://www.cs.rit.edu/~robotlab/Office3655,http://www.cs.rit.edu/~xl,
Office3651,1166,1014,-28.9296,-9.6432,N,http://www.cs.rit.edu/~robotlab/Office3651,http://www.cs.rit.edu/~zjb,
Office3647,1250,1014,-26.1744,-9.6432,N,http://www.cs.rit.edu/~robotlab/Office3647,http://www.cs.rit.edu/~rsg,
Office3645,1338,1014,-23.288,-9.6432,N,http://www.cs.rit.edu/~robotlab/Office3645,http://www.cs.rit.edu/~ib,
Office3637,1420,1014,-20.5984,-9.6432,N,http://www.cs.rit.edu/~robotlab/Office3637,http://www.cs.rit.edu/~sps,
Office3635,1504,1014,-17.8432,-9.6432,N,http://www.cs.rit.edu/~robotlab/Office3635,http://www.cs.rit.edu/~ark,
Office3627,1586,1014,-15.1536,-9.6432,N,http://www.cs.rit.edu/~robotlab/Office3627,http://www.cs.rit.edu/~rlc,
Office3625,1647,1014,-13.1528,-9.6432,N,http://www.cs.rit.edu/~robotlab/Office3625,http://www.cs.rit.edu/~eh,
Office3621,1758,1014,-9.512,-9.6432,N,http://www.cs.rit.edu/~robotlab/Office3621,https://www.cs.rit.edu/people/faculty,
Office3619,1841,1014,-6.7896,-9.6432,N,http://www.cs.rit.edu/~robotlab/Office3619,http://www.cs.rit.edu/~rkr,
Office3617,1924,1014,-4.0672,-9.6432,N,http://www.cs.rit.edu/~robotlab/Office3617,http://www.cs.rit.edu/~wrc,
Office3615,2005,1014,-1.4104,-9.6432,N,http://www.cs.rit.edu/~robotlab/Office3615,http://www.cs.rit.edu/~pga/,
Office3575,575,263,-4.0672,-9.6432,S,http://www.cs.rit.edu/~robotlab/Office3575,http://www.cs.rit.edu/people/adjuncts,
Office3573,696,263,-6.7896,-9.6432,S,http://www.cs.rit.edu/~robotlab/Office3573,http://www.cs.rit.edu/people/adjuncts,
Office3571,744,263,-9.512,14.9896,S,http://www.cs.rit.edu/~robotlab/Office3571,http://www.cs.rit.edu/people/adjuncts,
Office3569,830,263,-39.9504,14.9896,S,http://www.cs.rit.edu/~robotlab/Office3569,http://www.rit.edu/emcs/oce/,
Office3559,914,263,-37.1952,14.9896,S,http://www.cs.rit.edu/~robotlab/Office3559,http://www.cs.rit.edu/people/adjuncts,
Office3557,999,263,-34.4072,14.9896,S,http://www.cs.rit.edu/~robotlab/Office3557,http://www.cs.rit.edu/~mr,
Office3555,1082,263,-31.6848,14.9896,S,http://www.cs.rit.edu/~robotlab/Office3555,http://www.cs.rit.edu/~mtf,
Office3551,1165,263,-28.9624,14.9896,S,http://www.cs.rit.edu/~robotlab/Office3551,http://www.cs.rit.edu/~rlaz,
Office3547,1252,263,-26.1088,14.9896,S,http://www.cs.rit.edu/~robotlab/Office3547,http://www.cs.rit.edu/~jmk,
Office3545,1335,263,-23.3864,14.9896,S,http://www.cs.rit.edu/~robotlab/Office3545,http://www.cs.rit.edu/~rwd,
Office3537,1419,263,-20.6312,14.9896,S,http://www.cs.rit.edu/~robotlab/Office3537,http://www.cs.rit.edu/~fxk,
Office3535,1504,263,-17.8432,14.9896,S,http://www.cs.rit.edu/~robotlab/Office3535,http://www.cs.rit.edu/~bks,
Office3527,1587,263,-15.1208,14.9896,S,http://www.cs.rit.edu/~robotlab/Office3527,http://www.cs.rit.edu/~jmg,
Office3525,1671,263,-12.3656,14.9896,S,http://www.cs.rit.edu/~robotlab/Office3525,http://www.cs.rit.edu/~atd,
Office3521,1756,263,-9.5776,14.9896,S,http://www.cs.rit.edu/~robotlab/Office3521,http://www.cs.rit.edu/~lr,
Office3519,1842,263,-6.7568,14.9896,S,http://www.cs.rit.edu/~robotlab/Office3519,http://www.cs.rit.edu/~cmh,
