Name,x (pix),y (pix),X (m),Y (m),Orientation,URL,Redirect URL,Notes
Office3675,574,1014,18.8272,13.9728,N,http://bit.ly/1qkBPed,http://www.cs.rit.edu/~ta,
Office3673,693,1014,22.7304,13.9728,N,http://bit.ly/1qkBNmC,http://www.cs.rit.edu/~ta,
Office3671,746,1014,24.4688,13.9728,N,http://bit.ly/1qkBNmB,http://www.cs.rit.edu/~ta,
Office3669,829,1014,27.1912,13.9728,N,http://bit.ly/1q4fFut,http://www.cs.rit.edu/~tmh,
Office3659,912,1014,29.9136,13.9728,N,http://bit.ly/1q4fGyA,http://www.cs.rit.edu/~jsb,
Office3657,998,1014,32.7344,13.9728,N,http://bit.ly/1q4fGOZ,http://www.cs.rit.edu/~spr,
Office3655,1081,1014,35.4568,13.9728,N,http://bit.ly/1q4fGPg,http://www.cs.rit.edu/~xl,
Office3651,1166,1014,38.2448,13.9728,N,http://bit.ly/1qkBOXY,http://www.cs.rit.edu/~zjb,
Office3647,1250,1014,41,13.9728,N,http://bit.ly/1q4fGP7,http://www.cs.rit.edu/~rsg,
Office3645,1338,1014,43.8864,13.9728,N,http://bit.ly/1q4fFdW,http://www.cs.rit.edu/~ib,
Office3637,1420,1014,46.576,13.9728,N,http://bit.ly/1q4fEXF,http://www.cs.rit.edu/~sps,
Office3635,1504,1014,49.3312,13.9728,N,http://bit.ly/1q4fGyE,http://www.cs.rit.edu/~ark,
Office3627,1586,1014,52.0208,13.9728,N,http://bit.ly/1qkBN6n,http://www.cs.rit.edu/~rlc,
Office3625,1647,1014,54.0216,13.9728,N,http://bit.ly/1q4fFe0,http://www.cs.rit.edu/~eh,
Office3621,1758,1014,57.6624,13.9728,N,http://bit.ly/1q4fFdU,https://www.cs.rit.edu/people/faculty,
Office3619,1841,1014,60.3848,13.9728,N,http://bit.ly/1q4fGyH,http://www.cs.rit.edu/~rkr,
Office3617,1924,1014,63.1072,13.9728,N,http://bit.ly/1qkBPee,http://www.cs.rit.edu/~wrc,
Office3615,2005,1014,65.764,13.9728,N,http://bit.ly/1q4fFe1,http://www.cs.rit.edu/~pga/,
Office3575,575,263,18.86,38.6056,S,http://bit.ly/1qkBPec,http://www.cs.rit.edu/people/adjuncts,
Office3573,696,263,22.8288,38.6056,S,http://bit.ly/1q4fGyD,http://www.cs.rit.edu/people/adjuncts,
Office3571,744,263,24.4032,38.6056,S,http://bit.ly/1q4fFdS,http://www.cs.rit.edu/people/adjuncts,
Office3569,830,263,27.224,38.6056,S,http://bit.ly/1q4fH5C,http://www.rit.edu/emcs/oce/,
Office3559,914,263,29.9792,38.6056,S,http://bit.ly/1q4fGP3,http://www.cs.rit.edu/people/adjuncts,
Office3557,999,263,32.7672,38.6056,S,http://bit.ly/1q4fEXE,http://www.cs.rit.edu/~mr,
Office3555,1082,263,35.4896,38.6056,S,http://bit.ly/1q4fGyC,http://www.cs.rit.edu/~mtf,
